﻿Year,Emissions (kt CO₂-e)
1990,"+28,100.81"
1991,"+28,224.32"
1992,"+27,735.25"
1993,"+27,853.83"
1994,"+28,756.39"
1995,"+29,044.85"
1996,"+29,307.68"
1997,"+30,057.45"
1998,"+29,441.15"
1999,"+29,507.39"
2000,"+30,318.98"
2001,"+30,672.76"
2002,"+30,450.58"
2003,"+30,859.55"
2004,"+30,875.67"
2005,"+31,101.28"
2006,"+31,286.79"
2007,"+30,480.48"
2008,"+29,360.43"
2009,"+29,521.84"
2010,"+29,552.01"
2011,"+29,962.67"
2012,"+30,662.56"
2013,"+30,827.99"
2014,"+31,137.63"
2015,"+30,662.78"
2016,"+30,313.37"
2017,"+30,341.95"
2018,"+30,482.86"
2019,"+30,607.40"
2020,"+30,472.00"
URL, https://emissionstracker.environment.govt.nz/#NrAMBoDYFYF12ARnAIgHIFMAuL7AEzj6jF4DMRJoe0qAwgBIAsuCAnKgMQCeGAhgCcA+gCMArliwB7AHa5YQA
Selected Year, 2020
Selected Gases, CH4
Data from New Zealand's Greenhouse Gas Inventory published in 2022
https://www.mfe.govt.nz/climate-change/state-of-our-atmosphere-and-climate/new-zealands-greenhouse-gas-inventory
