﻿Year,Emissions (kt CO₂-e)
1990,+335.68
1991,+371.91
1992,+394.77
1993,+442.64
1994,+500.41
1995,+582.38
1996,+541.38
1997,+568.01
1998,+644.78
1999,+743.18
2000,+790.78
2001,+901.75
2002,"+1,033.90"
2003,"+1,001.73"
2004,"+1,006.91"
2005,"+1,064.10"
2006,+929.82
2007,+995.82
2008,+942.64
2009,+965.77
2010,+961.20
2011,"+1,019.71"
2012,"+1,056.78"
2013,+965.93
2014,+998.76
2015,"+1,050.24"
2016,+998.15
2017,+967.09
2018,"+1,016.14"
2019,"+1,020.50"
2020,+951.51
URL, https://emissionstracker.environment.govt.nz/#NrAMBoDYFYF12ARnAIgHIFMAuL7AEzj6jF4DMRJoe0qAwgPL64ICcqAxAJ4YCGATgH0ARgFcsWAPYA7XLCA
Selected Year, 2020
Selected Gases, CO2
Data from New Zealand's Greenhouse Gas Inventory published in 2022
https://www.mfe.govt.nz/climate-change/state-of-our-atmosphere-and-climate/new-zealands-greenhouse-gas-inventory
