﻿Year,Emissions (kt CO₂-e)
1990,"+1,171.50"
1991,"+1,155.06"
1992,"+1,134.28"
1993,"+1,210.17"
1994,"+1,287.80"
1995,"+1,130.23"
1996,"+1,391.77"
1997,"+1,383.68"
1998,"+1,368.14"
1999,"+1,376.36"
2000,"+1,336.32"
2001,"+1,384.69"
2002,"+1,283.58"
2003,"+1,116.87"
2004,"+1,136.33"
2005,"+1,267.16"
2006,"+1,601.72"
2007,"+1,385.00"
2008,"+1,152.01"
2009,"+1,259.57"
2010,"+1,530.77"
2011,"+1,433.97"
2012,"+1,132.29"
2013,+947.27
2014,+940.22
2015,+977.66
2016,+890.88
2017,+789.65
2018,+763.17
2019,+736.27
2020,+691.38
URL, https://emissionstracker.environment.govt.nz/#NrAMBoCYF12BGcAiA4gJwPYGctNsSZSUYvOAZiJNDOAFZkBhACQBZaBOZAYgE8BTAIZoA+gCMArgBcpGAHZ5oQA
Selected Year, 2020
Selected Gases, CH4
Data from New Zealand's Greenhouse Gas Inventory published in 2022
https://www.mfe.govt.nz/climate-change/state-of-our-atmosphere-and-climate/new-zealands-greenhouse-gas-inventory
