﻿Year,Emissions (kt CO₂-e)
1990,+27.60
1991,+47.15
1992,+39.96
1993,+44.85
1994,+56.24
1995,+79.12
1996,+106.18
1997,+109.53
1998,+103.12
1999,+118.60
2000,+138.61
2001,+122.61
2002,+131.18
2003,+55.64
2004,+62.55
2005,+19.73
2006,+23.24
2007,+24.99
2008,+32.79
2009,+47.29
2010,+47.65
2011,+47.90
2012,+63.68
2013,+81.65
2014,+126.48
2015,+106.70
2016,+125.28
2017,+112.02
2018,+92.27
2019,+107.23
2020,+96.15
URL, https://emissionstracker.environment.govt.nz/#NrAMBoBYDYF12ARnAIgOICcD2BnHL5gAmVI0MghAZlPNEuAFZUBhACUgYE5UBiATwCmAQwwB9AEYBXAC4ysAOwKwgA
Selected Year, 2020
Selected Gases, CH4
Data from New Zealand's Greenhouse Gas Inventory published in 2022
https://www.mfe.govt.nz/climate-change/state-of-our-atmosphere-and-climate/new-zealands-greenhouse-gas-inventory
