﻿Year,Emissions (kt CO₂-e)
1990,"+2,519.96"
1991,"+2,659.49"
1992,"+2,757.60"
1993,"+2,847.57"
1994,"+2,725.62"
1995,"+2,813.83"
1996,"+2,826.09"
1997,"+2,732.19"
1998,"+2,792.19"
1999,"+2,944.29"
2000,"+2,922.48"
2001,"+2,986.90"
2002,"+2,984.81"
2003,"+3,152.96"
2004,"+3,131.49"
2005,"+3,208.64"
2006,"+3,180.88"
2007,"+3,376.87"
2008,"+3,158.99"
2009,"+3,022.38"
2010,"+3,319.00"
2011,"+3,294.41"
2012,"+3,254.92"
2013,"+3,319.36"
2014,"+3,396.54"
2015,"+3,509.69"
2016,"+3,213.60"
2017,"+3,213.88"
2018,"+3,085.45"
2019,"+3,085.52"
2020,"+2,863.67"
URL, https://emissionstracker.environment.govt.nz/#NrAMBoBYDYF12ARnAIgOICcD2BnHL5gAmVI0MghAZlPNEuAFZUBhAeSIYE5UBiATwCmAQwwB9AEYBXAC4ysAOwKwgA
Selected Year, 2020
Selected Gases, CO2
Data from New Zealand's Greenhouse Gas Inventory published in 2022
https://www.mfe.govt.nz/climate-change/state-of-our-atmosphere-and-climate/new-zealands-greenhouse-gas-inventory
