﻿Year,Emissions (kt CO₂-e)
1990,+102.45
1991,+97.32
1992,+92.46
1993,+87.83
1994,+83.44
1995,+79.27
1996,+75.31
1997,+71.54
1998,+67.96
1999,+64.57
2000,+61.34
2001,+58.27
2002,+55.36
2003,+52.15
2004,+48.43
2005,+44.55
2006,+40.68
2007,+44.06
2008,+52.66
2009,+53.06
2010,+53.42
2011,+53.31
2012,+54.06
2013,+58.17
2014,+58.17
2015,+59.93
2016,+58.83
2017,+61.55
2018,+81.46
2019,+82.41
2020,+73.87
URL, https://emissionstracker.environment.govt.nz/#NrAMBoBYDYF12ARnAIgOICcD2BnHL5gAmVI0MghAZlPNEuAFZUA5IgeQYE5UBiATwCmAQwwB9AEYBXAC4ysAOwKwgA
Selected Year, 2020
Selected Gases, N2O
Data from New Zealand's Greenhouse Gas Inventory published in 2022
https://www.mfe.govt.nz/climate-change/state-of-our-atmosphere-and-climate/new-zealands-greenhouse-gas-inventory
