﻿Year,Emissions (kt CO₂-e)
1990,+158.91
1991,+157.84
1992,+156.15
1993,+158.92
1994,+137.63
1995,+136.26
1996,+131.03
1997,+139.87
1998,+148.51
1999,+156.72
2000,+149.73
2001,+138.52
2002,+131.60
2003,+123.42
2004,+124.25
2005,+119.46
2006,+118.53
2007,+114.88
2008,+109.91
2009,+107.65
2010,+108.66
2011,+105.31
2012,+105.57
2013,+102.91
2014,+102.98
2015,+100.34
2016,+100.78
2017,+95.22
2018,+92.42
2019,+90.26
2020,+89.80
URL, https://emissionstracker.environment.govt.nz/#NrAMBoEYA4CYF1zEuARAcQE4HsDOvVFhY1ZQzCkBmU80S4AVjQGEB5WBgTjQGIBPAKYBDTAH0ARgFcALjOwA7QvCA
Selected Year, 2020
Selected Gases, CO2
Data from New Zealand's Greenhouse Gas Inventory published in 2022
https://www.mfe.govt.nz/climate-change/state-of-our-atmosphere-and-climate/new-zealands-greenhouse-gas-inventory
