﻿Year,Emissions (kt CO₂-e)
1990,+113.39
1991,+115.95
1992,+116.80
1993,+118.28
1994,+115.58
1995,+116.97
1996,+117.55
1997,+120.30
1998,+124.31
1999,+127.81
2000,+129.12
2001,+130.58
2002,+124.80
2003,+124.96
2004,+126.10
2005,+126.01
2006,+126.73
2007,+127.05
2008,+127.05
2009,+128.37
2010,+130.91
2011,+132.96
2012,+135.30
2013,+138.44
2014,+142.65
2015,+147.07
2016,+152.41
2017,+156.31
2018,+159.87
2019,+164.39
2020,+167.14
URL, https://emissionstracker.environment.govt.nz/#NrAMBoEYA4CYF1zEuARAcQE4HsDOvVFhY1ZQzCkBmU80S4AVjQDlYB5BgTjQGIBPAKYBDTAH0ARgFcALjOwA7QvCA
Selected Year, 2020
Selected Gases, N2O
Data from New Zealand's Greenhouse Gas Inventory published in 2022
https://www.mfe.govt.nz/climate-change/state-of-our-atmosphere-and-climate/new-zealands-greenhouse-gas-inventory
